marker,x_tf_rms,x_ar_rms,x_lag_abs_mean_s,x_lag_slope,x_f_true_hz,x_f_pred_hz,x_freq_rel_err,x_amp_ratio,x_alpha_true,x_alpha_pred,x_decay_rel_err,x_failure_mode,y_tf_rms,y_ar_rms,y_lag_abs_mean_s,y_lag_slope,y_f_true_hz,y_f_pred_hz,y_freq_rel_err,y_amp_ratio,y_alpha_true,y_alpha_pred,y_decay_rel_err,y_failure_mode,sample_label
4,4.3015287873775145,14.062566052265066,0.1118764705882353,0.09755656108597283,1.5984015984015987,1.198801198801199,0.24999999999999997,0.3016918051799122,0.5740480451545162,0.2584485217962774,0.5497789357914964,autoregressive_accumulation,0.6995519967599719,4.955064851350362,0.11972745098039216,0.06533936651583691,1.5984015984015987,1.198801198801199,0.24999999999999997,0.30952400322101464,0.2934819273582182,0.32348090153952147,0.10221744981484707,autoregressive_accumulation,base_sample_2
9,3.425968627266093,26.372643587668396,0.0883235294117647,0.07466063348416288,1.5984015984015987,1.198801198801199,0.24999999999999997,0.24870540130587157,0.43433421718427834,0.06632851200939732,0.8472869293158738,autoregressive_accumulation,0.9658204268962265,7.363081321271478,0.12365294117647059,-0.007782805429864272,1.5984015984015987,1.198801198801199,0.24999999999999997,0.3205752801661729,0.13471660008394423,0.24528129183547664,0.8207206215317018,autoregressive_accumulation,base_sample_2
13,3.040832748203283,37.685364960027705,0.08112679738562091,0.056018099547511316,1.5984015984015987,1.198801198801199,0.24999999999999997,0.24621083722968512,0.36681110004055384,0.07446521419798337,0.7969930185052998,autoregressive_accumulation,1.3770933632823954,11.052993360900198,0.1164562091503268,-0.003981900452488784,1.5984015984015987,1.198801198801199,0.24999999999999997,0.30076999060200527,0.12887483595720997,0.2467495020109991,0.9146445477760049,autoregressive_accumulation,base_sample_2
18,11.54672224131852,82.17768502717276,0.07720130718954249,0.03257918552036198,1.5984015984015987,1.198801198801199,0.24999999999999997,0.24186969564316624,0.283021519367293,0.08016983889419685,0.7167358896474726,autoregressive_accumulation,6.216493395764942,37.64244872895707,0.07981830065359477,0.06262443438914027,1.5984015984015987,1.198801198801199,0.24999999999999997,0.26017293760336246,0.20090747100979714,-0.05776007645651888,1.2874959112580848,autoregressive_accumulation,base_sample_2
