[Class summary]
class_label,n_trials,rho
coor_0,8,1979.5715198058
coor_1,8,1573.9130126366
coor_2,8,1897.4935916796
coor_3,8,1591.2881786834

[Pairwise summary]
class_a,class_b,Delta_ab,rho_a,rho_b,rho_sum,margin,separable_by_rule
coor_0,coor_1,498.8370013636,1979.5715198058,1573.9130126366,3553.4845324425,-3054.6475310789,0
coor_0,coor_2,1371.7495651129,1979.5715198058,1897.4935916796,3877.0651114854,-2505.3155463726,0
coor_0,coor_3,1915.4507824034,1979.5715198058,1591.2881786834,3570.8596984892,-1655.4089160858,0
coor_1,coor_2,1783.2896913593,1573.9130126366,1897.4935916796,3471.4066043162,-1688.1169129569,0
coor_1,coor_3,2253.4613445541,1573.9130126366,1591.2881786834,3165.2011913200,-911.7398467659,0
coor_2,coor_3,910.3578117135,1897.4935916796,1591.2881786834,3488.7817703630,-2578.4239586495,0
