marker,x_tf_rms,x_ar_rms,x_lag_abs_mean_s,x_lag_slope,x_f_true_hz,x_f_pred_hz,x_freq_rel_err,x_amp_ratio,x_alpha_true,x_alpha_pred,x_decay_rel_err,x_failure_mode,y_tf_rms,y_ar_rms,y_lag_abs_mean_s,y_lag_slope,y_f_true_hz,y_f_pred_hz,y_freq_rel_err,y_amp_ratio,y_alpha_true,y_alpha_pred,y_decay_rel_err,y_failure_mode,sample_label
4,2.0458593420565037,3.165953271610911,0.017010457516339866,-0.00841628959276018,1.5984015984015987,1.5984015984015987,0.0,0.8476330351062533,0.5164786252988538,0.49134127072788925,0.04867065806725136,mixed_or_spatial,0.24953782125146143,1.272294780370653,0.02878692810457516,-0.0085972850678733,1.5984015984015987,1.5984015984015987,0.0,0.9038398579339706,0.7516099306445218,0.7375368738941258,0.018723883462167655,autoregressive_accumulation,base_sample_3
9,2.4663488015910953,6.073731114037055,0.005888235294117646,-0.008778280542986426,1.5984015984015987,1.5984015984015987,0.0,0.860183451882227,0.5568261343026654,0.5290499893412416,0.049882976480996,mixed_or_spatial,0.5702785362716827,1.9478587324273036,0.03336666666666667,-6.4659536232645906e-18,1.5984015984015987,1.5984015984015987,0.0,0.9205535762711452,0.7493777060507755,0.7770805109452106,0.036967746265670266,autoregressive_accumulation,base_sample_3
13,2.213668852269128,9.117596833344422,0.003925490196078431,-0.009954751131221715,1.5984015984015987,1.5984015984015987,0.0,0.8678321802910971,0.564001288244914,0.55134905344581,0.022432989184255004,autoregressive_accumulation,0.6871888638448278,3.149883130340117,0.03336666666666667,-6.4659536232645906e-18,1.5984015984015987,1.5984015984015987,0.0,0.9114851511409833,0.696209174036217,0.7512612278432169,0.07907401375916964,autoregressive_accumulation,base_sample_3
18,1.2240692714335646,20.761923723456405,0.0,0.0,1.5984015984015987,1.5984015984015987,0.0,0.8773482197971842,0.5496266995470597,0.5579295922564987,0.015106421715468657,autoregressive_accumulation,2.494858765709898,11.896830936677208,0.005888235294117646,0.007149321266968323,1.5984015984015987,1.5984015984015987,0.0,0.8881457985082805,0.4311383197387348,0.4574823187318412,0.061103357755512414,autoregressive_accumulation,base_sample_3
