marker,x_tf_rms,x_ar_rms,x_lag_abs_mean_s,x_lag_slope,x_f_true_hz,x_f_pred_hz,x_freq_rel_err,x_amp_ratio,x_alpha_true,x_alpha_pred,x_decay_rel_err,x_failure_mode,y_tf_rms,y_ar_rms,y_lag_abs_mean_s,y_lag_slope,y_f_true_hz,y_f_pred_hz,y_freq_rel_err,y_amp_ratio,y_alpha_true,y_alpha_pred,y_decay_rel_err,y_failure_mode,sample_label
4,0.7388530805390157,1.3809502114611092,0.0019627450980392157,-0.0065158371040723966,1.9980019980019983,1.9980019980019983,0.0,1.0127746267402598,0.9207306499129412,0.9876223278103202,0.07265064750880611,mixed_or_spatial,0.2693693733885232,0.39722083604028474,0.0,0.0,1.9980019980019983,1.9980019980019983,0.0,0.9829172919782013,1.1120874699707408,1.0832571106668507,0.025924542882088796,mixed_or_spatial,base_sample_3
9,0.6477007540993494,2.6123455112439493,0.0013084967320261436,-0.004434389140271492,1.9980019980019983,1.9980019980019983,0.0,1.0146830762436605,1.0068111851775385,1.0552768038332763,0.04813774357025188,autoregressive_accumulation,0.3056595919413727,0.438202128317872,0.0,0.0,1.9980019980019983,1.9980019980019983,0.0,0.9861271089529022,1.0662097342395962,1.14029838337576,0.06948787537472888,mixed_or_spatial,base_sample_3
13,0.6477804387682088,3.648342458315099,0.0013084967320261436,-0.004434389140271492,1.9980019980019983,1.9980019980019983,0.0,1.0125482751556134,1.0321849644442957,1.0735577052032588,0.040082681093148005,autoregressive_accumulation,0.3817924315164114,0.48188727729332326,0.0,0.0,1.9980019980019983,1.9980019980019983,0.0,0.9854333427105136,1.0130343669232278,1.076797842063123,0.06294305230093689,mixed_or_spatial,base_sample_3
18,1.5659176704476452,8.501979307227044,0.0013084967320261436,-0.004434389140271492,1.9980019980019983,1.9980019980019983,0.0,1.019264273446392,1.063538259771564,1.070754351048777,0.006784985129508125,autoregressive_accumulation,1.3075682193686364,2.29779885658376,0.0,0.0,1.9980019980019983,1.9980019980019983,0.0,1.0063561677346888,0.9411693999185693,0.908847711355692,0.0343420520956948,mixed_or_spatial,base_sample_3
