marker,x_tf_rms,x_ar_rms,x_lag_abs_mean_s,x_lag_slope,x_f_true_hz,x_f_pred_hz,x_freq_rel_err,x_amp_ratio,x_alpha_true,x_alpha_pred,x_decay_rel_err,x_failure_mode,y_tf_rms,y_ar_rms,y_lag_abs_mean_s,y_lag_slope,y_f_true_hz,y_f_pred_hz,y_freq_rel_err,y_amp_ratio,y_alpha_true,y_alpha_pred,y_decay_rel_err,y_failure_mode,sample_label
4,0.6314604549856914,1.9961322480549475,0.011776470588235293,-0.005158371040723983,1.5984015984015987,1.5984015984015987,0.0,0.9769770245379739,0.4430897165987554,0.42211460149659796,0.04733830264255868,autoregressive_accumulation,0.3200884890292842,1.6895504748781258,0.0045797385620915025,0.0031674208144796367,1.5984015984015987,1.5984015984015987,0.0,0.9813905570564485,0.3343347978305168,0.306814494477143,0.08231360759320235,autoregressive_accumulation,base_sample_7
9,0.834268007852678,3.6802195450529998,0.0045797385620915025,-0.005248868778280544,1.5984015984015987,1.5984015984015987,0.0,0.9903901016181377,0.3935589250942784,0.3747643616929513,0.047755398754646,autoregressive_accumulation,0.34295887959813276,2.1662750665675703,0.0,0.0,1.5984015984015987,1.5984015984015987,0.0,0.9806760612252352,0.29515214124528444,0.2530630488179471,0.14260134535957655,autoregressive_accumulation,base_sample_7
13,1.8823088312491576,5.380377824313835,0.0019627450980392157,-0.0065158371040723966,1.5984015984015987,1.5984015984015987,0.0,0.9899814997139387,0.37860392857720315,0.3563437372744945,0.0587954577924288,autoregressive_accumulation,0.5684333737710429,3.014048687213302,0.0,0.0,1.5984015984015987,1.5984015984015987,0.0,0.9835264123502468,0.26752889144332187,0.2637887724851343,0.013980243173025363,autoregressive_accumulation,base_sample_7
18,5.179790084684095,12.43657208991671,0.0019627450980392157,-0.0065158371040723966,1.5984015984015987,1.5984015984015987,0.0,0.9750057248306275,0.3665358121131332,0.34463173331251146,0.05975972354335985,mixed_or_spatial,2.605722573528715,6.132881266563992,0.0013084967320261436,-0.004434389140271492,1.5984015984015987,1.5984015984015987,0.0,1.0093363540554905,0.33369657270385017,0.3093327310418625,0.0730119625280364,mixed_or_spatial,base_sample_7
